date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:17	112826/112826	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221b8ba-58b5c5ff99ec0%22	https://preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons580c.eot	(from https://preview.colorlib.com/theme/mediplus/css/ionicons.min.css)
10:10:18	50592/50592	---M--	200	added ('OK')	font/woff2	etag:%22c5a0-58b5c6036a7c0%22	https://preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons580c.woff2	(from https://preview.colorlib.com/theme/mediplus/css/ionicons.min.css)
10:10:18	66024/66024	---M--	200	added ('OK')	font/woff	etag:%22101e8-58b5c60276580%22	https://preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons580c.woff	(from https://preview.colorlib.com/theme/mediplus/css/ionicons.min.css)
10:10:19	112648/112648	---MCZ	200	added ('OK')	font/ttf	etag:W/%221b808-58b5c60276580%22	https://preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons580c.ttf	(from https://preview.colorlib.com/theme/mediplus/css/ionicons.min.css)
10:10:19	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c76f-58b5c6008e100%22	https://preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/ionicons/fonts/ionicons580c.svg	(from https://preview.colorlib.com/theme/mediplus/css/ionicons.min.css)
10:10:19	5222/5222	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221466-58b5c5ee6f640%22	https://preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.eot	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/mediplus/css/flaticon.css)
10:10:19	5222/5222	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221466-58b5c5ee6f640%22	https://preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.eot?	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/mediplus/css/flaticon.css)
10:10:20	3600/3600	---M--	200	added ('OK')	font/woff	etag:%22e10-58b5c5f057ac0%22	https://preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.woff	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/mediplus/css/flaticon.css)
10:10:20	5044/5044	---MCZ	200	added ('OK')	font/ttf	etag:W/%2213b4-58b5c5ef63880%22	https://preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.ttf	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/mediplus/css/flaticon.css)
10:10:20	27121/27121	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269f1-58b5c5ef63880%22	https://preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.svg	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/mediplus/css/flaticon.css)
10:10:21	307332/307332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b084-58b5c5c385100%22	https://preview.colorlib.com/theme/mediplus/fonts/icomoon/icomoon.eot?6tt51o	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/icomoon/icomoonccfb.eot	(from https://preview.colorlib.com/theme/mediplus/css/icomoon.css)
10:10:21	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-58b5c5c56d580%22	https://preview.colorlib.com/theme/mediplus/fonts/icomoon/icomoon.ttf?6tt51o	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/icomoon/icomoonccfb.ttf	(from https://preview.colorlib.com/theme/mediplus/css/icomoon.css)
10:10:22	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-58b5c5c849c40%22	https://preview.colorlib.com/theme/mediplus/fonts/icomoon/icomoon.woff?6tt51o	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/icomoon/icomoonccfb.woff	(from https://preview.colorlib.com/theme/mediplus/css/icomoon.css)
10:10:22	165101/165101	---M--	200	added ('OK')	image/jpeg	etag:%22284ed-58b5c593d6080%22	https://preview.colorlib.com/theme/mediplus/images/bg_1.jpg	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/images/bg_1.jpg	(from https://preview.colorlib.com/theme/mediplus/appointment.html)
10:10:22	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-58b5c5c93de80%22	https://preview.colorlib.com/theme/mediplus/fonts/icomoon/icomoon.svg?6tt51o	C:/Users/shark/Desktop/switch%20live%20page/hos/preview.colorlib.com/theme/mediplus/fonts/icomoon/icomoonccfb.svg	(from https://preview.colorlib.com/theme/mediplus/css/icomoon.css)
